,facility_id,facility_name,facility_type,capacity_type,capacity_count,region,license_issue_date,inspection_date,gps_location,remarks
292,00225,"Hall, Lane and Hall Hospital (Christ)",hospital,unknown,unknown,Christ Church,2021-03-14 00:00:00,2019-11-26 00:00:00,"-58.73607, 13.11419", 
296,227,Anderson-Osborn Health Centre,polyclinic,unknown,460,St. Peter,2025-11-29 00:00:00,2019-05-08 00:00:00,unknown,Follow-up 2023
299,#229,Palmer Group Polyclinic (St),hospital,bed,10,St. Peter,2016-02-12 00:00:00,2023-07-24 00:00:00,"13.07905, -58.86479",Needs upgrade
301,c9cf95,"Patterson, Johnson and Richards",clinic,cot,395,St. Peter,2020-10-23 00:00:00,2018-05-03 00:00:00,13°0′17″N 58°43′13″W,Reinspection due
302,231,"Oliver,-Henderson-and-Allen Hospital",community health centre,bed,103,St. James,2022-06-25 00:00:00,2024-07-20 00:00:00,-58.73416;12.82374,Good
304,HF-0233,Ruiz PLC Infirmary (CHRIST),hospital,unknown,unknown,Christ Church,2023-03-03 00:00:00,2019-08-30 00:00:00,unknown,none
305,HF-0234,Thomas Ltd Polyclinic,polyclinic,bed,197,St. George,2019-11-01 00:00:00,2019-03-09 00:00:00,-58.94891;13.10651,Loved it
306,#235,Daniel PLC Health Centre,community health centre,unknown,unknown,St. Jospeh,2021-07-19 00:00:00,2021-03-05 00:00:00,12°57′59″N 58°53′8″W,Needs upgrade
307,00236,"Schaefer, Sanders and Wilson Infirmary",hospital,bed,55,St. Michael,2022-12-01 00:00:00,2018-04-14 00:00:00,unknown, 
308,#237,Stephenson Inc Clinic (ST.),unknown,unknown,unknown,St. Andrew,2016-01-06 00:00:00,2023-11-28 00:00:00,13°11′35″N 59°8′30″W,none
309,398a27,Foster-Jones Infirmary (St.)©,community health centre,unknown,160,St. John,2022-10-07 00:00:00,2021-05-06 00:00:00,POINT(-59.06339 12.84998),Reinspection due
310,HF-0239,"Henry, Sharp and Mcguire Health Centre (ST.)",clinic,bed,393,St. John,2025-02-22 00:00:00,2024-01-09 00:00:00,12°56′29″N 58°43′11″W,Reinspection due
318,#244,Ibarra-Neal Clinic,polyclinic,unknown,unknown,St. Jospeh,2019-12-19 00:00:00,2022-04-02 00:00:00,13°17′4″N 58°50′6″W, 
320,HF-0245,"Wilkins, Dominguez and Guerra",community health centre,cot,220,St. Lucy,2023-03-09 00:00:00,2025-08-06 00:00:00,unknown,Reinspection due
321,00246,"White, Townsend and Green Infirmary",unknown,unknown,unknown,St. George,2019-08-24 00:00:00,2021-06-12 00:00:00,-58.97955;12.78830,none
322,a11eb6,Smith and Sons Hosp. (St),unknown,bed,10,St. Jospeh,2024-02-24 00:00:00,2022-03-25 00:00:00,"13.15369, -59.04266",none
323,248,Love-Brown (St.Joseph),unknown,unknown,46,St. Jospeh,2025-11-06 00:00:00,2020-11-12 00:00:00,"13.26737, -58.81105",Loved it
324,249,Blackburn-Garrett Hospital,community health centre,cot,42,Christ Church,2020-02-11 00:00:00,2018-02-11 00:00:00,"13.06359, -59.18586",Loved it
326,251,Davis LLC Polyclinic (St.),community health centre,cot,378,St. James,2020-10-19 00:00:00,2024-11-26 00:00:00,"-59.19373, 12.91238",Good
327,252,Hernandez and Sons Hosp. (St),community health centre,bed,10,St. James,2025-12-01 00:00:00,2025-09-23 00:00:00,unknown,unknown
329,#253,"Mcknight, Allen and Horton",clinic,unknown,unknown,St. Jospeh,2022-09-27 00:00:00,2022-08-24 00:00:00,"-59.10141, 13.24397",Good
331,#255,Walker-Bell Infirmary,clinic,unknown,unknown,St. Lucy,2019-02-01 00:00:00,2020-11-12 00:00:00,unknown,Loved it
335,HF-0258,Russell-Castro Clinic (St),community health centre,unknown,unknown,St. James,2025-10-06 00:00:00,2020-01-09 00:00:00,POINT(-58.76347 13.00458),unknown
337,HF-0260,Weaver-Hoover Medical Center (ST.),community health centre,unknown,36,St. James,2023-08-08 00:00:00,2025-04-12 00:00:00,13°10′37″N 58°46′6″W,unknown
338,00261,Sherman-Pennington Medical Center (St.),clinic,bed,295,St. Peter,2025-08-31 00:00:00,2025-07-07 00:00:00,12°42′36″N 58°52′7″W,unknown
339,00262,Daugherty and Sons,community health centre,unknown,420,St. John,2017-01-31 00:00:00,2020-11-20 00:00:00,"12.80819, -58.79169",none
341,#263,Morgan-Monroe (ST.),community health centre,unknown,285,St. Michael,2024-05-15 00:00:00,2025-02-15 00:00:00,12°59′35″N 59°2′8″W,Follow-up 2023
343,HF-0264,"Johnson, Berg and Boone Infirmary (st.)",clinic,unknown,unknown,St. Michael,2025-09-15 00:00:00,2020-02-09 00:00:00,13°5′52″N 58°47′35″W,unknown
345,HF-0265,Fletcher Ltd Polyclinic,community health centre,unknown,374,St. George,2020-09-04 00:00:00,2024-01-07 00:00:00,unknown,Follow-up 2023
346,266,"Chambers, Gray and Brooks",community health centre,cot,193,St. Lucy,2020-09-16 00:00:00,2023-02-02 00:00:00,12°53′16″N 59°2′42″W, 
349,00268,Lane-Hughes Hospital (st.),polyclinic,unknown,130,St. Michael,2025-01-29 00:00:00,2020-08-11 00:00:00,"-58.99185, 13.22022",Needs upgrade
350,269,"Harrell, Walker and Mcintyre Hosp. (St.)",community health centre,bed,481,St. James,2016-02-09 00:00:00,2020-04-05 00:00:00,unknown,Needs upgrade
352,bfa6e8,Thompson-Riley Polyclinic,unknown,bed,266,St. Peter,2018-01-29 00:00:00,2023-01-12 00:00:00,POINT(-58.74688 12.90892),Needs upgrade
353,HF-0272,French Group (St.),polyclinic,unknown,234,St. Lucy,2019-08-24 00:00:00,2021-05-27 00:00:00,"-59.05786, 13.18418", 
354,00273,"Joyce,-Williams-and-Rodriguez Hospital",community health centre,cot,350,St. Peter,2023-11-22 00:00:00,2020-04-09 00:00:00,POINT(-58.75282 13.02106),Good
358,7c888a,White LLC Clinic,clinic,unknown,20,St. Andrew,2017-08-06 00:00:00,2020-03-23 00:00:00,"-58.70947, 13.20439",Good
359,277,Marsh-Villegas,community health centre,unknown,unknown,St. George,2022-12-20 00:00:00,2018-09-17 00:00:00,13°1′18″N 59°1′38″W,Needs upgrade
361,HF-0278,"Craig,-Johnson-and-Boyd Medical Center",clinic,bed,10,St. Jospeh,2022-02-01 00:00:00,2021-03-19 00:00:00,POINT(-58.70731 12.93976),unknown
363,00280,"Preston, Weaver and Fernandez Polyclinic (ST.)",polyclinic,unknown,unknown,St. Peter,2018-06-20 00:00:00,2024-09-24 00:00:00,POINT(-58.79941 12.91989),unknown
364,00281,"Lynch, Jones and Estrada Infirmary",hospital,cot,420,St. James,2020-04-05 00:00:00,2019-07-20 00:00:00,12°50′50″N 59°15′59″W,Loved it
365,00282,Black-Clayton Medical Center (St.Joseph),community health centre,unknown,unknown,St. Jospeh,2024-02-26 00:00:00,2023-01-03 00:00:00,13°11′8″N 59°14′40″W,unknown
369,#284,Martinez Group Clinic💊,unknown,unknown,347,Christ Church,2025-02-03 00:00:00,2025-01-17 00:00:00,unknown, 
372,286,"Johnson, Buchanan and Bowen Medical Center",unknown,unknown,437,St. Jospeh,2023-08-12 00:00:00,2021-11-24 00:00:00,POINT(-58.94984 12.81328),Reinspection due
373,#287,Tanner Ltd Medical Center,polyclinic,cot,170,St. Peter,2016-11-13 00:00:00,2023-05-11 00:00:00,"12.75284, -58.93762",Reinspection due
375,8ecbf5,"Boyd,-Davis-and-Elliott Medical Center©",polyclinic,unknown,146,St. Peter,2024-11-13 00:00:00,2024-06-01 00:00:00,-58.87985;13.05313,Needs upgrade
376,289,"Carpenter,-Russell-and-Oliver Infirmary (St)",hospital,unknown,unknown,St. James,2016-03-05 00:00:00,2018-12-24 00:00:00,-59.15050;12.85441,unknown
378,HF-0291,Clark-Kelly 🏥 (St.),community health centre,bed,363,St. Jospeh,2019-04-29 00:00:00,unknown,"12.95620, -58.82999",Needs upgrade
379,292,Garcia LLC Hosp.,polyclinic,bed,349,St. Andrew,2019-09-15 00:00:00,2018-07-14 00:00:00,-58.75414;12.74465,Reinspection due
381,989d88,Fisher-Salazar Health Centre,community health centre,unknown,unknown,St. Michael,2024-05-13 00:00:00,2024-10-08 00:00:00,-59.02576;12.71052,Follow-up 2023
385,295,Ferguson Ltd (St.Andrew),clinic,unknown,306,St. Andrew,2022-12-28 00:00:00,2020-02-09 00:00:00,"13.16606, -58.76883",none
387,296,"Choi,-Castillo-and-Baldwin Polyclinic💊",unknown,bed,10,St. James,2016-11-09 00:00:00,2024-03-08 00:00:00,unknown,Follow-up 2023
389,#297,Hill-Turner Health Centre,hospital,bed,90,St. Lucy,2025-09-21 00:00:00,2021-03-06 00:00:00,unknown,Follow-up 2023
390,HF-0298,"Stewart, Raymond and Mack Hosp.",clinic,cot,133,St. Michael,2025-06-05 00:00:00,2022-07-09 00:00:00,"13.17489, -58.85732",none
392,00300,Collins Group Clinic (ST.),community health centre,unknown,unknown,St. Lucy,2019-06-02 00:00:00,2022-01-18 00:00:00,"12.96906, -59.24064",Loved it
394,00302,Wilson Inc Medical Center (Christ),hospital,bed,231,Christ Church,2022-08-12 00:00:00,2020-11-27 00:00:00,13°4′4″N 58°55′18″W,unknown
396,HF-0304,Fritz Inc Polyclinic,community health centre,unknown,unknown,St. Michael,2017-01-29 00:00:00,2022-01-16 00:00:00,unknown,Reinspection due
398,89d929,Arnold LLC Clinic,unknown,bed,105,St. Peter,2019-11-25 00:00:00,2023-06-07 00:00:00,"12.87689, -58.97436",Good
400,00306,"Jacobs, Sanchez and Hutchinson Infirmary (St.)",polyclinic,unknown,2,St. Peter,2016-01-29 00:00:00,2018-03-19 00:00:00,"-58.78773, 13.03776",none
402,e4fa0a,"Wilson, Brock and Silva Infirmary (St.Joseph)",polyclinic,unknown,213,St. Jospeh,2024-01-03 00:00:00,2022-08-30 00:00:00,unknown,unknown
403,HF-0308,Snyder-Reyes Infirmary,community health centre,unknown,unknown,St. Andrew,2021-10-05 00:00:00,2025-12-22 00:00:00,-58.73393;13.12082,unknown
405,f9df2f,"Baker, Adams and Lin Medical Center",unknown,bed,151,St. Andrew,2019-02-22 00:00:00,2018-06-10 00:00:00,13°16′41″N 59°2′49″W,unknown
409,312,"Goodman, Hayes and Miller (ST.)",hospital,bed,436,St. John,2024-01-29 00:00:00,2020-04-24 00:00:00,unknown,Loved it
411,313,"Aguilar, West and White",community health centre,unknown,unknown,St. Peter,2020-08-15 00:00:00,2019-08-09 00:00:00,POINT(-58.80355 12.86355),none
412,00314,Garcia Ltd Clinic,community health centre,unknown,unknown,St. George,2020-10-26 00:00:00,2023-10-26 00:00:00,POINT(-59.22229 13.04153),unknown
413,#315,Green-Chen Medical Center (st.),unknown,unknown,141,St. Michael,2025-11-04 00:00:00,2018-12-17 00:00:00,13°0′53″N 58°52′32″W,unknown
415,317,"Rivera,-Hernandez-and-Murphy (St.)",community health centre,unknown,12,St. Jospeh,2023-06-22 00:00:00,2020-10-30 00:00:00,-59.28329;12.90553,Needs upgrade
417,HF-0318,Gomez-Brown,community health centre,bed,327,St. George,2022-12-02 00:00:00,2022-06-10 00:00:00,unknown,Loved it
420,HF-0320,"Holmes, Salas and Townsend 🏥 (St.)",polyclinic,unknown,unknown,St. Michael,2024-10-10 00:00:00,2025-06-21 00:00:00,"12.97568, -58.85621",Reinspection due
421,HF-0321,Wade LLC Polyclinic©,community health centre,bed,68,St. Lucy,2021-02-09 00:00:00,2025-05-07 00:00:00,-58.84665;13.13860,unknown
422,00322,Livingston-Lewis,unknown,bed,131,St. Michael,2023-11-10 00:00:00,2020-08-09 00:00:00,12°47′42″N 59°6′41″W,Needs upgrade
424,f065bc,Parsons PLC Medical Center,community health centre,bed,412,Christ Church,2025-12-30 00:00:00,2018-12-14 00:00:00,"-59.12966, 13.13049",unknown
426,325,Townsend-Pena Infirmary,community health centre,unknown,215,Christ Church,2023-02-23 00:00:00,2018-06-07 00:00:00,12°58′17″N 58°46′44″W, 
427,326,Bernard-Simpson Health Centre (St.),community health centre,unknown,383,St. Andrew,2020-03-22 00:00:00,2025-06-17 00:00:00,13°11′35″N 58°51′44″W,Needs upgrade
428,#327,Ellis LLC Health Centre,unknown,unknown,57,St. Peter,2016-01-03 00:00:00,2020-08-14 00:00:00,unknown,unknown
431,HF-0330,Wilson-Zavala Infirmary,community health centre,unknown,unknown,St. John,2019-03-27 00:00:00,2024-02-06 00:00:00,"-59.13034, 13.29299",Follow-up 2023
434,00332,"Johnson, Park and Calderon Clinic (St.)✨",polyclinic,bed,10,St. John,2024-10-25 00:00:00,2023-04-14 00:00:00,"12.91425, -59.24324",unknown
436,b9ad32,"Martinez, Mendoza and Horton Infirmary",community health centre,unknown,unknown,St. Lucy,2022-09-10 00:00:00,2025-12-30 00:00:00,"-58.71866, 13.06736",Good
437,2e45c5,"Payne, Ware and Liu Hospital (ST.)",community health centre,unknown,unknown,St. John,2023-11-07 00:00:00,2025-04-26 00:00:00,-59.29859;12.71337,Good
438,37666a,Hall Group Infirmary (ST.),unknown,unknown,294,St. John,2018-07-28 00:00:00,2024-10-18 00:00:00,13°8′45″N 58°53′29″W,unknown
439,decde8,Simmons-Washington (St.),unknown,cot,455,St. John,2022-12-19 00:00:00,2018-09-13 00:00:00,unknown,Follow-up 2023
441,338,Moreno PLC (hcruhC),polyclinic,bed,10,Christ Church,2017-03-10 00:00:00,2024-09-25 00:00:00,POINT(-59.00327 13.00152),Good
442,339,Gilbert-Phillips Polyclinic (St.),community health centre,unknown,65,St. Jospeh,2019-12-29 00:00:00,2024-06-07 00:00:00,unknown,Needs upgrade
443,#340,Odom-Inc 🏥,hospital,bed,127,Christ Church,2019-04-13 00:00:00,2020-04-21 00:00:00,POINT(-59.20638 12.81452),Needs upgrade
445,HF-0341,"Harper, Russell and Manning Polyclinic (St.)",community health centre,bed,102,St. Lucy,2025-07-26 00:00:00,2020-09-11 00:00:00,"12.87241, -59.07582",Reinspection due
446,9c0c31,"Baldwin,-Anderson-and-Dodson Infirmary",polyclinic,unknown,103,St. Jospeh,2020-09-16 00:00:00,2025-06-08 00:00:00,unknown,Loved it
448,64f55a,Hudson-Perez Medical Center,community health centre,bed,462,St. Lucy,2017-03-10 00:00:00,2022-06-15 00:00:00,unknown,Good
451,abfc47,Klein PLC Medical Center (St.)©,hospital,bed,10,St. John,2017-02-28 00:00:00,2023-08-16 00:00:00,unknown, 
452,HF-0347,Barrett-Simpson Medical Center,community health centre,bed,10,St. Michael,2023-03-09 00:00:00,2019-05-11 00:00:00,POINT(-58.71558 12.86586), 
454,00348,Carr-Prince Polyclinic,hospital,unknown,258,St. George,2020-07-01 00:00:00,unknown,POINT(-58.81592 13.13197),unknown
456,fe4690,Dominguez Group 🏥,unknown,unknown,108,St. Michael,2024-11-12 00:00:00,2025-01-06 00:00:00,"-58.89261, 13.12535",none
457,350,Martinez-Foster Health Centre,hospital,unknown,unknown,St. John,2023-12-11 00:00:00,2022-01-17 00:00:00,"-59.11038, 12.70656",unknown
459,68cddd,Whitney LLC Medical Center,hospital,unknown,331,St. Lucy,2021-05-20 00:00:00,2025-11-20 00:00:00,12°49′31″N 59°2′41″W,unknown
461,00353,"Graves, Carlson and Thomas 🏥 (St.)",community health centre,unknown,4,St. Lucy,2017-02-11 00:00:00,2021-12-26 00:00:00,unknown,none
463,d9fb65,"Sanchez, Solis and Mercado Health Centre",unknown,cot,256,St. John,2017-11-30 00:00:00,2020-12-26 00:00:00,unknown, 
466,356,"Carey, Fields and Kelly Infirmary (Christ)",clinic,unknown,unknown,Christ Church,2021-04-12 00:00:00,2019-07-22 00:00:00,-59.24995;13.10780,unknown
468,#358,Galvan-and-Sons Health Centre,unknown,unknown,unknown,St. Andrew,2016-12-22 00:00:00,2021-07-01 00:00:00,-58.90165;12.93739,unknown
470,04c0be,Cantrell LLC (St),community health centre,bed,10,St. Andrew,2017-12-28 00:00:00,2022-02-26 00:00:00,12°44′32″N 58°51′11″W, 
471,#360,Nguyen Ltd (St.),hospital,unknown,unknown,St. John,2020-08-10 00:00:00,2021-11-16 00:00:00,POINT(-58.90976 12.83800),Needs upgrade
472,430d44,Hoover-Kelley Hosp.,community health centre,unknown,unknown,Christ Church,2017-10-05 00:00:00,2025-09-01 00:00:00,unknown,Reinspection due
473,b7604e,"Johnson, Reed and Thompson (ST.)",community health centre,unknown,unknown,St. George,2021-06-15 00:00:00,2025-09-29 00:00:00,unknown,Reinspection due
476,HF-0364,Collins Ltd Medical Center (Christ),clinic,bed,186,Christ Church,2024-06-01 00:00:00,2020-11-01 00:00:00,unknown, 
480,00367,"Harrison, Zuniga and Smith",community health centre,unknown,unknown,St. George,2018-05-16 00:00:00,2021-07-18 00:00:00,"-59.09358, 12.98796",Reinspection due
482,HF-0368,"Ruiz, Harris and Chavez Infirmary",community health centre,unknown,unknown,St. Lucy,2017-06-18 00:00:00,2018-05-19 00:00:00,-58.94470;12.91277,unknown
483,369,Taylor LLC Health Centre💊,community health centre,cot,429,St. George,2021-08-18 00:00:00,2019-12-14 00:00:00,"-59.21881, 13.01465",Good
485,#370,"Montgomery, Taylor and Riggs",clinic,bed,367,St. Peter,2023-08-25 00:00:00,2020-09-22 00:00:00,POINT(-58.97339 13.14215),Loved it
489,#373,Lopez Ltd Medical Center (ST.),unknown,bed,461,St. John,2018-12-04 00:00:00,2024-12-24 00:00:00,unknown, 
493,7c07f5,"Johnson, Fowler and Lowe Polyclinic (ST.)",hospital,unknown,424,St. Jospeh,2019-04-12 00:00:00,2023-08-19 00:00:00,"-58.73284, 12.82147",Needs upgrade
495,#378,Stewart Inc Polyclinic,unknown,unknown,363,St. Jospeh,2018-03-23 00:00:00,2024-12-23 00:00:00,"-58.78617, 13.23283",none
497,380,Mason-Wood Medical Center (ST.),community health centre,cot,205,St. Michael,2017-04-29 00:00:00,2019-03-13 00:00:00,13°10′49″N 58°44′6″W,Follow-up 2023
498,381,Gross-LLC Health Centre,community health centre,bed,77,St. John,2022-03-24 00:00:00,2019-09-12 00:00:00,POINT(-58.93042 12.89431),Good
499,#382,"Morgan, Mcmahon and Yates (St)",community health centre,unknown,36,St. Michael,2021-11-01 00:00:00,2022-11-05 00:00:00,unknown,Loved it
500,383,Smith Inc Polyclinic,hospital,bed,10,St. Jospeh,2017-11-19 00:00:00,2024-05-15 00:00:00,POINT(-58.94283 13.29661),Good
502,#385,Wallace LLC Polyclinic,community health centre,unknown,109,St. Peter,2020-10-08 00:00:00,2018-10-31 00:00:00,POINT(-58.90931 12.71540),Good
503,#386,"Singh,-Patel-and-Taylor Polyclinic",hospital,unknown,unknown,St. Lucy,2019-05-25 00:00:00,2023-12-14 00:00:00,POINT(-59.16474 12.71167),unknown
507,389,Kelly Inc,community health centre,unknown,unknown,St. Lucy,2024-06-09 00:00:00,2024-09-11 00:00:00,"13.10467, -58.78403",unknown
508,390,Frazier Group Polyclinic (st.),community health centre,bed,330,St. James,2025-02-28 00:00:00,2020-01-29 00:00:00,unknown,Follow-up 2023
509,00391,Gonzalez-Riley Infirmary💊,polyclinic,bed,10,St. Andrew,2017-02-28 00:00:00,2020-08-21 00:00:00,unknown,Good
512,#393,"Collins, Jenkins and Gates",polyclinic,unknown,116,St. Peter,2020-08-29 00:00:00,2023-11-05 00:00:00,"13.18682, -59.14101",Needs upgrade
513,HF-0394,"Turner, Holt and Gardner",hospital,unknown,unknown,St. Andrew,2020-07-09 00:00:00,2024-01-09 00:00:00,12°48′27″N 58°59′26″W,Loved it
515,HF-0395,Moore-Fuller Hosp.,community health centre,bed,268,Christ Church,2017-11-21 00:00:00,2023-04-14 00:00:00,13°4′29″N 58°50′12″W,Needs upgrade
516,#396,Alvarez-Anderson,polyclinic,bed,56,St. Lucy,2024-07-16 00:00:00,2021-08-24 00:00:00,-59.12168;12.79446,Good
518,397,"Gibson, Jordan and Novak Infirmary (St)",hospital,unknown,unknown,St. Michael,2021-03-12 00:00:00,2019-11-23 00:00:00,"-59.01513, 13.24710",unknown
521,HF-0399,"Rangel, Blankenship and Farrell Polyclinic",clinic,cot,132,St. Peter,2025-06-23 00:00:00,2018-01-22 00:00:00,-58.97660;13.22111,unknown
523,00400,Thompson-Griffin Hospital (st.),hospital,unknown,unknown,St. James,2019-11-21 00:00:00,2020-06-04 00:00:00,POINT(-59.18439 12.78303),Reinspection due
525,HF-0401,Short LLC (St.),community health centre,bed,159,St. Peter,unknown,2023-04-07 00:00:00,13°15′39″N 59°2′43″W, 
527,#402,"Wilson-Jones (Christ)
NewLine",polyclinic,unknown,66,Christ Church,2019-03-15 00:00:00,2020-03-02 00:00:00,-59.09440;12.87220,Needs upgrade
529,HF-0403,"Evans,-Davis-and-Todd Clinic (ST.)",community health centre,bed,10,St. John,2016-07-24 00:00:00,2019-06-03 00:00:00,"12.71740, -59.19067",unknown
532,HF-0405,Adams Inc Hosp. (ST.),polyclinic,unknown,unknown,St. Andrew,2020-06-01 00:00:00,2025-05-25 00:00:00,unknown,Loved it
534,00407,Fletcher and Sons✨,unknown,unknown,283,St. John,2021-04-17 00:00:00,2018-07-17 00:00:00,"12.80185, -58.89234",Loved it
535,#408,Hall-Jones Health Centre,community health centre,bed,397,St. Lucy,2017-10-05 00:00:00,2022-05-12 00:00:00,unknown,Reinspection due
538,00410,"Peterson, Wells and Berry",clinic,bed,121,St. Peter,2020-08-17 00:00:00,2018-12-14 00:00:00,"13.19612, -59.02761",Reinspection due
539,411,Wallace-Greene Hosp. (st.),unknown,unknown,unknown,St. James,2017-03-10 00:00:00,2022-11-25 00:00:00,13°14′16″N 58°50′15″W,none
541,#413,Gonzalez LLC Health Centre,hospital,cot,266,St. Jospeh,2023-06-26 00:00:00,2025-11-28 00:00:00,"-59.09860, 13.27928",Loved it
542,414,Collins and Sons (Christ)✨,hospital,unknown,231,Christ Church,2019-05-23 00:00:00,unknown,"12.83304, -58.74019",none
543,00415,"Soto,-Lopez-and-Hampton Hosp.💊",community health centre,bed,155,Christ Church,2017-02-06 00:00:00,2023-11-11 00:00:00,-59.19116;12.80398,Reinspection due
544,416,Cruz LLC,community health centre,bed,199,St. Lucy,2024-04-26 00:00:00,2018-02-01 00:00:00,12°53′54″N 59°1′50″W,unknown
545,e639bc,Harmon-LLC 🏥,hospital,bed,10,St. Peter,2024-10-25 00:00:00,2024-07-26 00:00:00,-59.22619;12.79780,Reinspection due
546,#418,"Page, Smith and Chase",community health centre,bed,394,St. James,2025-09-13 00:00:00,2022-10-24 00:00:00,POINT(-59.23242 13.09202),none
549,00420,Brown-Wilcox (ST.),community health centre,unknown,unknown,St. Jospeh,2021-09-09 00:00:00,2018-01-30 00:00:00,12°51′23″N 58°45′25″W,Good
